source,sink,susceptance,line_cap
304IPNPPA9,SimahaPhot,0.21,1700
AkaraMining,Phetchabun,0.056,850
AngThong1,Ayutthaya1,0.099,1000
AngThong1,SingBuri,0.057,850
AngThong1,Thalan1,0.173,1200
AngThong2,Ayutthaya1,0.139,1000
AngThong2,DoembangNangbuat,0.045,850
AngThong2,SaiNoi,0.041,1700
AngThong2,SuphanBuri,0.062,850
AngThong2,Thalan3,0.034,1700
AoPhai,BangLamung1,0.2,850
AoPhai,BoWin,0.097,1700
AoPhai,ChonBuri2,0.215,850
AoPhai,Rayong2,0.074,1700
Ayutthaya1,Ayutthaya2,0.204,1000
Ayutthaya1,BangPaIn1,0.127,1000
Ayutthaya2,Phachi2,0.169,800
BaanRai,Manorom,0.082,850
BangchakRefinery,Ratchadaphisek,0.282,1700
BangKapi,Ratchadaphisek,0.128,1700
BangLangDam,Yala2,0.122,1000
BangPaIn1,AngThong1,0.07,1700
BangPaIn1,BangPaIn2,0.191,1000
BangPaIn2,NavaNakhon,0.217,3400
BangPaIn2,Saraburi2,0.031,2500
BangPakong,PhanThong,0.217,1700
BangPhli,OnNuch,0.128,1700
BangPhli,Theparak,0.128,1700
BangSaphan,Chumphon,0.041,1700
BangSaphan,LangSuan,0.019,1700
BanKhai,PluakDaeng,0.141,3400
BanPong1,Ratchaburi3,0.166,3400
BanPong2,BanPong1,0.117,850
BanPong2,KamphaengSaen,0.097,850
BanPong2,Kanchanaburi2,0.088,1050
BanPong2,NakhonChaisi,0.078,1700
BanPong2,SaiNoi,0.064,1700
BanPong2,ThaMuang,0.112,850
BanVean,NakhonPhanom,0.066,850
BanVean,SakonNakhon,0.045,850
BhumibolDam,NakhonSawan,0.014,1050
BhumibolDam,Tak1,0.064,850
BhumibolDam,Tak2,0.038,1700
BhumibolDam,Thoeng,0.037,850
BoWin,BanBueng,0.204,1000
BoWin,Rayong2,0.094,1700
BuengKan,PhangKhon,0.033,850
BuengKan,SakonNakhon,0.084,1200
BuriRam,PrakhonChai,0.053,850
BuriRam,Surin2,0.039,1700
ChaAm,HuaHin,0.14,850
Chacheongsao,ChonBuri3,0.215,850
Chacheongsao,PrachinBuri1,0.047,1000
ChaengWatthana,Chatuchak,0.128,1700
ChaengWatthana,LatPhrao,0.128,2550
ChaengWatthana,Nonthaburi,0.282,1700
Chaiyaphum1,Phon,0.038,850
Chanthaburi,BanKhai,0.043,1700
Chanthaburi,Klaeng,0.057,850
Chatuchak,BangkokNoi,0.128,2550
ChiangMai1,ChiangMai2,0.17,1000
ChiangMai2,MaeTaeng,0.078,850
ChiangMai3,ChiangMai1,0.09,1000
ChiangMai3,MaeHongSon,0.082,850
Chiangrai,MaeChan,0.088,850
Chiangrai,Thoeng,0.036,850
ChomBueng,BangSaphan,0.01,3400
ChomBueng,Ratchaburi3,0.059,3400
ChomThien,AoPhai,0.104,850
ChomThien,BangLamung1,0.255,850
ChomThien,Sattahip1,0.28,850
ChonBuri2,BangLamung1,0.14,850
