year,month,day,hour,kamchay,lrchrum,atay,tatay,kirirom1,kirirom3
2016,1,1,1,1360589.062,2144145.945,1566725.624,1218240,78342.18748,63829.68748
2016,1,1,2,1227757.496,2015777.813,1501799.066,1147584.371,76317.18748,63078.75
2016,1,1,3,1131409.688,1962241.875,1477558.127,1096613.44,74528.43748,62243.43748
2016,1,1,4,1053050.621,1959204.377,1473364.688,1084876.875,72883.12504,61534.68748
2016,1,1,5,1109219.064,2117137.496,1553647.497,1093744.687,73279.68748,60792.18748
2016,1,1,6,1206596.251,2513868.753,1807692.187,1143146.25,72916.87504,60302.81252
2016,1,1,7,1315549.694,2656732.499,1906900.307,1292709.373,72140.62504,59847.18748
2016,1,1,8,1345325.634,2599281.569,1901567.805,1226593.124,70925.62504,59222.81252
2016,1,1,9,1216029.375,2725228.113,1959550.322,1309128.752,69896.25,59020.31252
2016,1,1,10,1143450,2726966.234,1894235.624,1402177.5,68959.68748,58741.87504
2016,1,1,11,1132194.375,2639975.618,1864788.749,1335082.498,68512.5,58320
2016,1,1,12,1134556.87,2575327.496,1810569.376,1340921.255,67854.37504,58100.62504
2016,1,1,13,1091660.626,2748600.013,1972535.638,1365423.751,67432.5,57628.12504
2016,1,1,14,1108535.622,3078084.387,2166395.612,1453106.249,67230,57476.25
2016,1,1,15,1122491.252,3088783.124,2183675.642,1466015.623,66588.75,56919.37504
2016,1,1,16,1238810.625,2825347.499,1986828.756,1426629.375,66234.37504,56598.75
2016,1,1,17,1416909.387,3103869.375,2133033.746,1520218.136,70807.5,56801.25
2016,1,1,18,1404826.864,2758691.25,1918704.375,1411425.007,71246.25,56430
2016,1,1,19,1369659.377,2664140.623,1883925.003,1426730.623,70453.12504,56041.87504
2016,1,1,20,1469458.126,2834578.114,2000565.012,1407881.252,69136.87504,55468.12504
2016,1,1,21,1464058.13,2729632.514,1906605.01,1420942.497,68293.12504,55248.75
2016,1,1,22,1443183.756,2767179.378,1938751.875,1380678.748,67635,55485
2016,1,1,23,1397081.251,2724603.743,1893729.372,1392406.876,68175,57121.87504
2016,1,1,24,1422005.624,2956314.37,2101494.386,1456042.497,70891.87504,60665.62504
2016,1,2,1,1346827.511,2940924.375,2095200.008,1478840.625,72427.5,59028.75
2016,1,2,2,1174365,2837176.877,2027834.991,1455536.249,71752.5,62133.75
2016,1,2,3,1059243.75,2782603.124,1999046.248,1410007.511,73372.5,61678.12504
2016,1,2,4,1027670.625,2761897.503,2001914.99,1337968.125,71769.37504,60041.25
2016,1,2,5,1110273.75,2881153.123,2020156.875,1507899.386,72798.75,61222.5
2016,1,2,6,1211355.01,2816606.25,1975505.624,1478098.125,72562.5,59788.12504
2016,1,2,7,1192387.5,2729902.504,1917202.5,1425144.374,70132.5,61053.75
2016,1,2,8,1127975.625,2480895.01,1758256.874,1295274.374,67111.87504,58201.87504
2016,1,2,9,1103776.875,2414846.25,1735610.626,1291798.124,65711.25,56075.62504
2016,1,2,10,1136514.375,2565202.5,1842496.877,1290718.124,66960,55653.75
2016,1,2,11,1052139.375,2478633.75,1822888.126,1240329.375,66200.62504,55096.87504
2016,1,2,12,966549.3748,2433121.877,1809877.5,1210730.625,63888.75,53814.37504
